,game,gameclass
296, HAPPY FEET,"('value', 'b')"
297, HARRY POTTER,"('value', 'b')"
298, HARRY POTTER AND SORCER OF STONE,"('value', 'b')"
299, HARRY POTTER GAME ON XBOX,"('value', 'b')"
300, HAZE,"('value', 'a')"
301, HEARTS,"('value', 'b')"
302, HEAVENLY SWORD,"('value', 'a')"
303, HELICOPTER,"('value', 'b')"
304, HELICOPTER GAME,"('value', 'b')"
305, HIDE AND GO SEEK TAG,"('value', 'a')"
306, HIGH SCHOOL MUSICAL 2 GAME,"('value', 'b')"
307, HIGH SCHOOL MUSICAL GAME,"('value', 'b')"
308, HIT MEN,"('value', 'a')"
309, HIT-MAN,"('value', 'b')"
310, HITMAN,"('value', 'c')"
311, HOCKEY,"('value', 'b')"
312, HOCKEY GAME,"('value', 'a')"
313, HOLIDAY EXPRESS,"('value', 'b')"
314, I DON'T K,"('value', 'b')"
315, I DON'T PLAY MUCH OF ANY...I DON'T PLAY THAT MUCH ON THE INTERNET,"('value', 'b')"
316, I DONT KNOW WHAT ITS CALLED BUT ITS WHOLE BAND,"('value', 'a')"
317, I DRESSUP. COM,"('value', 'c')"
318, I SPY,"('value', 'a')"
319, ICE AGE,"('value', 'a')"
320, INDIANA,"('value', 'b')"
321, INTENDOGS,"('value', 'a')"
322, JAK 3,"('value', 'a')"
323, JAMES BOND,"('value', 'b')"
324, JAMES BOND 007 NIGHTFIRE,"('value', 'b')"
325, JENGA,"('value', 'b')"
326, JEOPARDY,"('value', 'b')"
327, JETMAN,"('value', 'b')"
328, JEZZ BALL,"('value', 'b')"
329, JIG SAW PUZZLES,"('value', 'b')"
330, JIMMY NEUTRON,"('value', 'b')"
331, JUICED,"('value', 'a')"
332, JUICED 2,"('value', 'g')"
333, JUMP ULTIMATE STARS,"('value', 'a')"
334, JUZZBALL,"('value', 'e')"
335, K ADDICTING GAMES,"('value', 'b')"
336, KANE & LYNCH DEADMEN,"('value', 'a')"
337, KARAOKE,"('value', 'b')"
338, KARAOKE REVOLUTION,"('value', 'b')"
339, KINDGDOM HEARTS,"('value', 'a')"
340, KINDOM HEARTS,"('value', 'a')"
341, KING OF HEARTS,"('value', 'a')"
342, KINGDOM HEARTS,"('value', 'h')"
343, KINGDOM HEARTS 1,"('value', 'c')"
344, KINGDOM HEARTS 2,"('value', 'h')"
345, KNIGHTS OF THE OLD REPUBLIC,"('value', 'c')"
346, LA RUSH,"('value', 'c')"
347, LAND OF DEAD,"('value', 'c')"
348, LEGEND OF DRAGOON,"('value', 'a')"
349, LEGEND OF ZEDLA,"('value', 'a')"
350, LEGEND OF ZELDA,"('value', 'c')"
351, LEGEND OF ZELDA FOR WII,"('value', 'a')"
352, LEGEND OF ZELDA: PHANTOM HOURGLASS,"('value', 'a')"
353, LEGO STAR WARS,"('value', 'a')"
354, LEGO STAR WARS 2,"('value', 'b')"
355, LEGO STARWARS EPISODE 1-3,"('value', 'b')"
356, LEMMINGS,"('value', 'd')"
357, LIBERTY KIDS,"('value', 'b')"
358, LIFE,"('value', 'a')"
359, LIKE BASEBALL,"('value', 'b')"
360, LIKE CODY-,"('value', 'b')"
361, LITTLE PET SHOP,"('value', 'b')"
362, LORD OF THE RINGS: BATTLE FOR MIDDLE EARTH 2,"('value', 'a')"
363, LUCITO GREEN EXPEDITION,"('value', 'b')"
364, LUXOR,"('value', 'b')"
365, MADDDEN 08,"('value', 'd')"
366, MADDED 08,"('value', 'a')"
367, MADDEN,"('value', 'g')"
368, MADDEN 07,"('value', 'c')"
369, MADDEN 08,"('value', 'g')"
370, MADDEN 08 FOR PS2,"('value', 'd')"
371, MADDEN 2005,"('value', 'c')"
372, MADDEN 2006,"('value', 'a')"
373, MADDEN 2007,"('value', 'g')"
374, MADDEN 2008,"('value', 'c')"
375, MADDEN FOOTBALL,"('value', 'c')"
376, MADDEN O8,"('value', 'a')"
377, MADDEN SPORTS GAMES,"('value', 'b')"
378, MADDEN08|SAINT ROW,"('value', 'a')"
379, MAGIC MIRRORS,"('value', 'b')"
380, MAHJONGG,"('value', 'b')"
381, MANGON,"('value', 'b')"
382, MAPLE STORY,"('value', 'c')"
383, MARCH MADNESS,"('value', 'b')"
384, MARIO,"('value', 'c')"
385, MARIO AND GRETZY & NHL,"('value', 'a')"
386, MARIO AND SONIC AT THE OLYPMIC GAMES,"('value', 'b')"
387, MARIO AND SONIC OLYMPICS FOR THE WII,"('value', 'a')"
388, MARIO BROTHERS,"('value', 'e')"
389, MARIO GALAXY,"('value', 'a')"
390, MARIO GAMES,"('value', 'b')"
391, MARIO GOLF,"('value', 'b')"
392, MARIO KART,"('value', 'j')"
393, MARIO KART DOUBLE DASH,"('value', 'c')"
394, MARIO KART RACING,"('value', 'a')"
395, MARIO KART SUPER CIRCUIT,"('value', 'a')"
396, MARIO PARTY,"('value', 'b')"
397, MARIO PARTY IV,"('value', 'b')"
398, MARIO RACING GAMES,"('value', 'b')"
399, MARIO SECRET BROTHERS,"('value', 'b')"
400, MARIO SUNSHINE,"('value', 'a')"
401, MARIO SUPER STAR BASEBALL.,"('value', 'c')"
402, MARK OF KRI,"('value', 'a')"
403, MARYKATE & ANN ASHLEY,"('value', 'a')"
404, MASS EFFECT,"('value', 'a')"
405, MATH FOOTBALL GAME,"('value', 'b')"
406, MBL 2K6,"('value', 'a')"
407, MECHQUEST,"('value', 'a')"
408, MEDAL OF HOHOR,"('value', 'a')"
409, MEDAL OF HONNOR,"('value', 'b')"
410, MEDAL OF HONOR,"('value', 'i')"
411, MEDAL OF HONOR 4,"('value', 'a')"
412, MEDAL OF HONOR FRONTLINE,"('value', 'a')"
413, MEGA MAN,"('value', 'b')"
414, MEMORY,"('value', 'b')"
415, MERCURY MELDOWN EVOLUTION,"('value', 'b')"
416, METAL GEAR SOLID,"('value', 'a')"
417, METAL OF HONOR HEROES,"('value', 'a')"
418, METEOS,"('value', 'b')"
419, METROID,"('value', 'a')"
420, METROID CRIME,"('value', 'a')"
421, METROID FUSION,"('value', 'a')"
422, METROID PRIME 3,"('value', 'a')"
423, MIDEIVIL 2 TURTLE WAR,"('value', 'a')"
424, MIDNIGHT CLUB,"('value', 'a')"
425, MIDNIGHT CLUB 3 (DUB EDTION),"('value', 'b')"
426, MIDNIGHT CLUB THREE,"('value', 'a')"
427, MILLSBERRY,"('value', 'c')"
428, MINESWEEPER,"('value', 'b')"
429, MINI CLIPS,"('value', 'a')"
430, MLB,"('value', 'g')"
431, MLB 08,"('value', 'a')"
432, MLB 2002,"('value', 'c')"
433, MLB 2004,"('value', 'b')"
434, MLB 2K7,"('value', 'a')"
435, MLB SLUGFEST 2006,"('value', 'a')"
436, MLB THE SHOW 07,"('value', 'c')"
437, MOB TYCOON,"('value', 'a')"
438, MONKEY BALL,"('value', 'b')"
439, MONOPLY,"('value', 'b')"
440, MONOPOLY,"('value', 'b')"
441, MOORWIND: PRINCE OF PERSUSH,"('value', 'a')"
442, MORTAL KOMBAT,"('value', 'a')"
443, MORTAL KOMBAT ARMAGEDDON,"('value', 'a')"
444, MORTAL KOMBAT: DEADLY ALLIANCE,"('value', 'g')"
445, MORTAL kOMBAT,"('value', 'a')"
446, MOTOR CROSS,"('value', 'a')"
447, MULAN,"('value', 'a')"
448, MVP NCAA BASEBALL 2006,"('value', 'a')"
449, MX UNLEASHED,"('value', 'b')"
450, MX VS ATV ONLEASH,"('value', 'a')"
451, MX VS ATV UNLEASHED,"('value', 'c')"
452, MYSTERY GAMES,"('value', 'a')"
453, NANCY DREW,"('value', 'b')"
454, NARC,"('value', 'a')"
455, NARNIA,"('value', 'b')"
456, NARUTO,"('value', 'a')"
457, NARUTO: CLASH OF NINJA 2,"('value', 'a')"
458, NASCAR,"('value', 'j')"
459, NASCAR 07,"('value', 'a')"
460, NASCAR 08,"('value', 'c')"
461, NBA,"('value', 'g')"
462, NBA 08,"('value', 'g')"
463, NBA 2K,"('value', 'b')"
464, NBA 2K SERIES,"('value', 'a')"
465, NBA 2K8,"('value', 'a')"
466, NBA BASEKETBALL,"('value', 'e')"
467, NBA BASKETBALL,"('value', 'g')"
468, NBA GAMES,"('value', 'a')"
469, NBA LIVE,"('value', 'g')"
470, NBA LIVE 08,"('value', 'c')"
471, NBA LIVE 2008,"('value', 'g')"
472, NBA STREET: HOMECOURT,"('value', 'a')"
473, NBA2K8,"('value', 'a')"
474, NCA FOOTBALL 08,"('value', 'f')"
475, NCAA,"('value', 'g')"
476, NCAA (FOOTBALL),"('value', 'a')"
477, NCAA 06,"('value', 'g')"
478, NCAA 07,"('value', 'a')"
479, NCAA 08,"('value', 'c')"
480, NCAA 2008,"('value', 'a')"
481, NCAA BASEBALL 06,"('value', 'a')"
482, NCAA BASKETBAL,"('value', 'a')"
483, NCAA BASKETBALL,"('value', 'b')"
484, NCAA BBALL,"('value', 'a')"
485, NCAA FOOTBALL,"('value', 'a')"
486, NCAA FOOTBALL 07,"('value', 'b')"
487, NCAA FOOTBALL 08,"('value', 'b')"
488, NCAA MARCH MADDNESS,"('value', 'a')"
489, NCAA MARCH MADNESS 05,"('value', 'b')"
490, NCAA07,"('value', 'e')"
491, NEED FOR SPEED,"('value', 'c')"
492, NEED FOR SPEED 2,"('value', 'b')"
493, NEED FOR SPEED CARBON,"('value', 'j')"
494, NEED FOR SPEED CARBON ,"('value', 'e')"
495, NEED FOR SPEED MOST WANTED,"('value', 'a')"
496, NEED FOR SPEED PROSTREET,"('value', 'e')"
497, NEED FOR SPEED TOKYO DRIFT,"('value', 'c')"
498, NEED FOR SPEED UNDERGROUND,"('value', 'a')"
499, NEED FOR SPEED UNDERGROUND 2,"('value', 'a')"
500, NEED FOR SPEED: CARBON,"('value', 'a')"
501, NEED FOR SPEED: MOST WANTED,"('value', 'a')"
502, NEO KIDS,"('value', 'f')"
503, NFL,"('value', 'c')"
504, NFL 08,"('value', 'a')"
505, NFL 2008,"('value', 'a')"
506, NFL BLISS,"('value', 'a')"
507, NFL FOOTBALL,"('value', 'g')"
508, NFL GAME,"('value', 'a')"
509, NHL,"('value', 'b')"
510, NHL 08,"('value', 'a')"
511, NHL 2008,"('value', 'c')"
512, NHL 2K7,"('value', 'c')"
513, NHL 2K7 HOCKEY,"('value', 'a')"
514, NHL 2K8,"('value', 'a')"
515, NHL HOCKEY 2K7,"('value', 'c')"
516, NIGHTMARE BEFORE CHRISTMAS,"('value', 'a')"
517, NINTENDOGS,"('value', 'b')"
518, NO OTHER GAMES ON A COMPUTER,"('value', 'b')"
519, NONE SPECIFIC,"('value', 'a')"
520, NTAA 06,"('value', 'g')"
521, OBEL VIN,"('value', 'a')"
522, OBLIVION,"('value', 'd')"
523, OBLIVION ELDER SCROLLS,"('value', 'a')"
524, ONIMUSHA DAWN OF DREAMS,"('value', 'a')"
525, ONLINE GAMES,"('value', 'b')"
526, ONLINE JIGSAW GAMES,"('value', 'b')"
527, ONLINES GAMES,"('value', 'b')"
528, OR U COULD JUST PUT T,"('value', 'a')"
529, ORANGE BOX,"('value', 'c')"
530, ORIGANL MARIO,"('value', 'b')"
531, OTHELLO,"('value', 'b')"
532, OVERLORD,"('value', 'a')"
533, PAC-MAN,"('value', 'b')"
534, PACMAN,"('value', 'j')"
535, PERFECT DARK ZERO,"('value', 'a')"
536, PERSONA 3,"('value', 'b')"
537, PIANOS,"('value', 'b')"
538, PINBALL,"('value', 'b')"
539, POGO,"('value', 'b')"
540, POKEMON,"('value', 'a')"
541, POKEMON (ANOTHER ONE),"('value', 'a')"
542, POKEMON GAMES,"('value', 'a')"
543, POLICE CHASE,"('value', 'b')"
544, PRIMAL RAGE,"('value', 'a')"
545, PRINCE OF PERISA,"('value', 'a')"
546, PRINCE OF PERSIA ALL THREE,"('value', 'a')"
547, PRO STREET NEED FOR SPEED,"('value', 'g')"
548, PROJECT AWSOME RACING 2,"('value', 'e')"
549, PROJECT GOTHAM 3,"('value', 'a')"
550, PROJECT GOTHAM RACING 2,"('value', 'a')"
551, PUZZELED,"('value', 'b')"
552, PUZZLE GAME,"('value', 'b')"
553, PUZZLE GAMES,"('value', 'b')"
554, PUZZLE GAMES ONLINE,"('value', 'b')"
555, PUZZLE TYPE GAMES,"('value', 'a')"
556, PUZZLES,"('value', 'b')"
557, QUAKE 3,"('value', 'a')"
558, QUEST (LIKE SCRABBLE),"('value', 'a')"
559, RACE TRACK GAME,"('value', 'a')"
560, RACECAR,"('value', 'a')"
561, RACHET & CLANK,"('value', 'b')"
562, RACHET & CLINK DREAD LOCK,"('value', 'a')"
563, RACING,"('value', 'b')"
564, RACING GAME ON THE WII,"('value', 'c')"
565, RACING GAMES,"('value', 'j')"
566, RACING GAMES),"('value', 'b')"
567, RAGNAROCK,"('value', 'a')"
568, RAINBOW SIX VEGAS,"('value', 'c')"
569, RAINBOW VI VEGAS,"('value', 'b')"
570, RAINBOW6,"('value', 'b')"
571, RATCHET & CLANK,"('value', 'a')"
572, RATCHET AND CLANK,"('value', 'c')"
573, RAVIN BAXTER,"('value', 'a')"
574, RAW VS. SMACKDOWN 2007,"('value', 'a')"
575, RED ALERT 2,"('value', 'b')"
576, RED SQUARE,"('value', 'a')"
577, RESIDENT EVEL 4,"('value', 'b')"
578, RESIDENT EVIL,"('value', 'i')"
579, RESIDENT EVIL 3,"('value', 'a')"
580, RESIDENT EVIL 4,"('value', 'l')"
581, RESISTANCE: FALL OF MAN N,"('value', 'a')"
582, REVERSEE,"('value', 'b')"
583, RISE OF NATIONS.,"('value', 'a')"
584, RISE OF THE NINJA,"('value', 'a')"
585, ROCK BAND,"('value', 'k')"
586, ROCK BAND. (HALO 2),"('value', 'a')"
587, ROCKBAND,"('value', 'f')"
588, ROLLER COASTER TYCON,"('value', 'b')"
589, ROLLER COASTER TYCOON,"('value', 'b')"
590, ROLLERCOASTER TYCOON,"('value', 'b')"
591, ROME: TOTALWAR,"('value', 'a')"
592, RUNESCAPE,"('value', 'a')"
593, RUNESCAPE.COM,"('value', 'a')"
